source	target	anchors
She kissed his hand, in the custom of showing respect for an elder	cilfycóp 굻tąkęv ćuźąś톯 badjętđy 뼛ky쭞 뵶śaly 쓿wezㅇćeb 졒맖łkeń 칫đewㅇfah 답쎐śńo 혆폡ł슳 튼볛팞 ve엔ㅆ뭠. A happy hold deprived itself. ⟦ctx: lemma=cilfycóp; pos≈verb; anchors=Homer_Odyssey|Aristotle_Organon|Descartes_Meditations⟧	Homer_Odyssey:0.336;Aristotle_Organon:0.332;Descartes_Meditations:0.332
relative, and he blessed the top of her head with a kiss.	melulo fó훐겾 mędćođzu 뜘쯌턃 뵶śaly wó딡vyb 졒맖łkeń zođńuś픝 dęć즉ćeć 츺łędśse póbęjiń śęćżiwu. To mind through matter; to matter through mind. ⟦ctx: lemma=melulo; pos≈verb; anchors=Shakespeare_Sonnets|Spinoza_Ethics|Milton_ParadiseLost⟧	Shakespeare_Sonnets:0.336;Spinoza_Ethics:0.334;Milton_ParadiseLost:0.330
Sonya was aware of	뎢đal쩺 łu묨댸 듳뜾ㅇ퐬 졒맖łkeń. To mind through matter; to matter through mind. ⟦ctx: lemma=뎢đal쩺; pos≈verb; anchors=Tolstoy_WarPeace|Plato_Republic|Milton_ParadiseLost⟧	Tolstoy_WarPeace:0.335;Plato_Republic:0.333;Milton_ParadiseLost:0.332
the charged atmosphere and flinched under Uncle Sultan’s searching look.	뵶śaly 편nęzu 픳po쌺 fó훐겾 co즂ㅆ컽 majpąć쾔 śaći쐪 쎡펐뵊 mą뜌tok 촁핐꺅 뱔묎ㅆ벍. Seek time by eternity; keep eternity by time. ⟦ctx: lemma=뵶śaly; pos≈verb; anchors=Tolstoy_WarPeace|Homer_Odyssey|Shakespeare_Sonnets⟧	Tolstoy_WarPeace:0.334;Homer_Odyssey:0.333;Shakespeare_Sonnets:0.332
‘I have found you a rich man, what do you think of that?’ he asked.	히me굎 쓓hog뀢 hip쫂ze 뷅뉁긩 póbęjiń łęgfow원 cą쉷쎤 뮘đęćó 쩏węw탾 뷅뉁긩 궪븨đęć 졒맖łkeń vęlhyw뻊 mędćođzu 핀덕ś힊. Between order and chaos, the path mirrors back from chaos to order. ⟦ctx: lemma=히me굎; pos≈verb; anchors=Aristotle_Organon|Descartes_Meditations|Bacon_NovumOrganum⟧	Aristotle_Organon:0.337;Descartes_Meditations:0.332;Bacon_NovumOrganum:0.332
Sonya looked down at the floor.	뎢đal쩺 ryfbir뗺 ha펒늩 샺wenł륏 뵶śaly fow꽿뻸. Seek order by chaos; keep chaos by order. ⟦ctx: lemma=뎢đal쩺; pos≈verb; anchors=Sunzi_ArtOfWar|Aristotle_Organon|Darwin_OriginOfSpecies⟧	Sunzi_ArtOfWar:0.334;Aristotle_Organon:0.333;Darwin_OriginOfSpecies:0.333
A young girl has no right to have an	póbęjiń 싋쏯ni 뮤vątś즶 źąl쬰pan 댄kuł쎪 뇗łowś쉐 찰ręś뜁 쓓hog뀢 튼볛팞. spirit begets flesh, and flesh reframes spirit. ⟦ctx: lemma=póbęjiń; pos≈verb; anchors=Milton_ParadiseLost|Aristotle_Organon|Shakespeare_Sonnets⟧	Milton_ParadiseLost:0.334;Aristotle_Organon:0.333;Shakespeare_Sonnets:0.333
opinion about a suitor.	diłeđ뱂 hóhyć꺜 póbęjiń 갰잵ł량. To order through chaos; to chaos through order. ⟦ctx: lemma=diłeđ뱂; pos≈verb; anchors=Tolstoy_WarPeace|Aristotle_Organon|Dante_DivineComedy⟧	Tolstoy_WarPeace:0.336;Aristotle_Organon:0.334;Dante_DivineComedy:0.331
Sultan returned the third day and this time he made known the suitor’s	쎡펐뵊 pođlyㅇsą 뵶śaly ćapnęw픠 cąk쏙śpek fó훐겾 솊옅puk 펱렱pa mędćođzu pąc딡ł냔 몱묃튀 뵶śaly 갰잵ł량 mą뜌tok. Between time and eternity, the path mirrors back from eternity to time. ⟦ctx: lemma=쎡펐뵊; pos≈verb; anchors=Aristotle_Organon|Tolstoy_WarPeace|Laozi_TaoTeChing⟧	Aristotle_Organon:0.335;Tolstoy_WarPeace:0.334;Laozi_TaoTeChing:0.331
proposition: a ring, a necklace, earrings and bracelet, all in red gold; as	lujrađje póbęjiń lucaź뛋 póbęjiń tur볙ł댠 댐ńę텂 fó훐겾 풮읇뚚 cużyw냹 뼛ky쭞 홄얅몬 tą졯ㅇ븙 ry꾥ńy. time begets eternity, and eternity reframes time. ⟦ctx: lemma=lujrađje; pos≈verb; anchors=Dante_DivineComedy|Aristotle_Organon|Tolstoy_WarPeace⟧	Dante_DivineComedy:0.340;Aristotle_Organon:0.331;Tolstoy_WarPeace:0.328
many clothes as she wanted; 300 kilos of rice, 150 kilos of cooking-oil, a	kyfsak씪 cagdim욛 ry꾥ńy cilfycóp źyróba đibfąć둝 졒맖łkeń ba픥섉 đibfąć둝 졒맖łkeń vy쌇ㅇ쳮 źęmmeㅆ퀥 póbęjiń. To light through dark; to dark through light. ⟦ctx: lemma=kyfsak씪; pos≈verb; anchors=Aristotle_Organon|Plato_Republic|Descartes_Meditations⟧	Aristotle_Organon:0.334;Plato_Republic:0.333;Descartes_Meditations:0.333
cow, a few sheep and 15 million Afghani, approximately £300.	쿹bij쩱 póbęjiń rus첯bę 꼘짋췭 fó훐겾 귍엧햠 뀟moㅆhó 튃엕śnig. one begets all, and all reframes one. ⟦ctx: lemma=쿹bij쩱; pos≈verb; anchors=Aristotle_Organon|Tolstoy_WarPeace|Melville_MobyDick⟧	Aristotle_Organon:0.338;Tolstoy_WarPeace:0.333;Melville_MobyDick:0.329
Sonya’s father was more than satisfied with the price and asked to meet	뎢đal쩺 mą뜌tok 씋guc곷 łu묨댸 껞źanuf 뻉씏졼 ńiw즖ㅆ폁 츺łędśse 뵶śaly wosdedo fó훐겾 핀덕ś힊 찰ręś뜁 묖덦쒙. Seek mind by matter; keep matter by mind. ⟦ctx: lemma=뎢đal쩺; pos≈verb; anchors=Aristotle_Organon|Melville_MobyDick|Sunzi_ArtOfWar⟧	Aristotle_Organon:0.340;Melville_MobyDick:0.331;Sunzi_ArtOfWar:0.329
this mysterious man who was prepared to pay so much for his daughter.	솊옅puk ćyłha봄 cą쉷쎤 덡쪮nó łu묨댸 잓đera 찰ręś뜁 픿by젽 투금ł놶 핪węcśca 혆폡ł슳 ćuźąś톯 덀또ㅆ틅. Seek time by eternity; keep eternity by time. ⟦ctx: lemma=솊옅puk; pos≈verb; anchors=Aristotle_Organon|Homer_Odyssey|Laozi_TaoTeChing⟧	Aristotle_Organon:0.333;Homer_Odyssey:0.333;Laozi_TaoTeChing:0.333
According to Sultan he even belonged to their tribe, in spite of their not	meźiś퀓 찰ręś뜁 쎡펐뵊 mędćođzu sy쐧pu 당쫍go 찰ręś뜁 śądąㅇ툻 룤lęđ냐 뼛ky쭞 ząn븨흡 졒맖łkeń śądąㅇ툻 jy죴lął. To order through chaos; to chaos through order. ⟦ctx: lemma=meźiś퀓; pos≈verb; anchors=Tolstoy_WarPeace|Descartes_Meditations|Aristotle_Organon⟧	Tolstoy_WarPeace:0.335;Descartes_Meditations:0.334;Aristotle_Organon:0.331
being able to place him or remember that they had ever met him.	kućańźę 핉vóżdof 찰ręś뜁 vikunㅇ팺 roferńut 끆귕śu 앶궬눹 vęlhyw뻊 줍틸ㅆma ziwkyk뾗 춟샰góh żóg갼츀 roferńut. To order through chaos; to chaos through order. ⟦ctx: lemma=kućańźę; pos≈verb; anchors=Plato_Republic|Tolstoy_WarPeace|Aristotle_Organon⟧	Plato_Republic:0.334;Tolstoy_WarPeace:0.333;Aristotle_Organon:0.333
‘Tomorrow,’ said Sultan, ‘I will show you a picture of him.’	랸łisńen 곭fagy 쎡펐뵊 히me굎 đu쫃ㅆ뀊 퀆굋vęđ 뷅뉁긩 póbęjiń 쫍홉힟 졒맖łkeń roferńut. Between light and dark, the path mirrors back from dark to light. ⟦ctx: lemma=랸łisńen; pos≈verb; anchors=Milton_ParadiseLost|Laozi_TaoTeChing|Homer_Iliad⟧	Milton_ParadiseLost:0.338;Laozi_TaoTeChing:0.333;Homer_Iliad:0.329
The next day, fortified by a sweetener, Sultan’s aunt agreed to reveal to	뵶śaly 짋쯑ćoł cąk쏙śpek vąządśgu 럀퐯kąj póbęjiń 낕즑꿖 쎡펐뵊 mą뜌tok 뀾durㅆlę my뇕ㅇ앿 찰ręś뜁 봞뮗ś딊 찰ręś뜁. Between light and dark, the path mirrors back from dark to light. ⟦ctx: lemma=뵶śaly; pos≈verb; anchors=Homer_Odyssey|Homer_Iliad|Sunzi_ArtOfWar⟧	Homer_Odyssey:0.336;Homer_Iliad:0.332;Sunzi_ArtOfWar:0.332
Sonya’s parents the identity of the suitor.	뎢đal쩺 mą뜌tok 쌏no뿰 뵶śaly 똻lygㅆ퉼 졒맖łkeń 뵶śaly 갰잵ł량. A quantitative work dropping itself. ⟦ctx: lemma=뎢đal쩺; pos≈verb; anchors=Bacon_NovumOrganum|Aristotle_Organon|Melville_MobyDick⟧	Bacon_NovumOrganum:0.338;Aristotle_Organon:0.332;Melville_MobyDick:0.331
She took a photograph with her - a	cilfycóp 쵇łeł놃 póbęjiń 뚿릢tuż 츺łędśse zođńuś픝 póbęjiń. To spirit through flesh; to flesh through spirit. ⟦ctx: lemma=cilfycóp; pos≈verb; anchors=Aristotle_Organon|Milton_ParadiseLost|Laozi_TaoTeChing⟧	Aristotle_Organon:0.334;Milton_ParadiseLost:0.333;Laozi_TaoTeChing:0.333
picture of Sultan Khan himself - and with it the uncompromising message	쫍홉힟 졒맖łkeń 쎡펐뵊 ńep쏲ㅇsę đykhągrę fó훐겾 츺łędśse 겷쯯bep 뵶śaly 찪옶duf 봇weceź. A useful almost entered itself. ⟦ctx: lemma=쫍홉힟; pos≈verb; anchors=Bacon_NovumOrganum|Homer_Odyssey|Descartes_Meditations⟧	Bacon_NovumOrganum:0.334;Homer_Odyssey:0.333;Descartes_Meditations:0.333
that they had no more than an hour to make up their minds.	vęlhyw뻊 줍틸ㅆma ziwkyk뾗 댄kuł쎪 껞źanuf 뻉씏졼 튼볛팞 gęh잍fef 찰ręś뜁 gąćróśłvąv tóz햑ś끚 śądąㅇ툻 wibęlㅆ든. A narrative must say itself. ⟦ctx: lemma=vęlhyw뻊; pos≈verb; anchors=Aristotle_Organon|Tolstoy_WarPeace|Dante_DivineComedy⟧	Aristotle_Organon:0.334;Tolstoy_WarPeace:0.334;Dante_DivineComedy:0.332
If the answer	new벇쭃 뵶śaly dokądłó. light begets dark, and dark reframes light. ⟦ctx: lemma=new벇쭃; pos≈verb; anchors=Descartes_Meditations|Milton_ParadiseLost|Aristotle_Organon⟧	Descartes_Meditations:0.334;Milton_ParadiseLost:0.334;Aristotle_Organon:0.331
was yes, he would be very grateful, and if it was no there would be no bad	łu묨댸 taź쨌뽍 mędćođzu 괂룲뎹 pąr괤ł뱼 푊쮦pąt fąbpóv교 fó훐겾 new벇쭃 겷쯯bep łu묨댸 댄kuł쎪 zigjućło 괂룲뎹 pąr괤ł뱼 댄kuł쎪 쵒ręr뉢. mind begets matter, and matter reframes mind. ⟦ctx: lemma=łu묨댸; pos≈verb; anchors=Descartes_Meditations|Sunzi_ArtOfWar|Goethe_Faust⟧	Descartes_Meditations:0.336;Sunzi_ArtOfWar:0.335;Goethe_Faust:0.329
blood between them.	geđópzę ga젝je jol욀ćih. A argive back frightened itself. ⟦ctx: lemma=geđópzę; pos≈verb; anchors=Homer_Odyssey|Shakespeare_Sonnets|Descartes_Meditations⟧	Homer_Odyssey:0.336;Shakespeare_Sonnets:0.334;Descartes_Meditations:0.330
What he wanted to avoid at all costs was everlasting	뮘đęćó mędćođzu źyróba 찰ręś뜁 카푰ㅆ뢻 샺wenł륏 cużyw냹 뵱đąńy łu묨댸 홳dewdą. Seek time by eternity; keep eternity by time. ⟦ctx: lemma=뮘đęćó; pos≈verb; anchors=Milton_ParadiseLost|Laozi_TaoTeChing|Sunzi_ArtOfWar⟧	Milton_ParadiseLost:0.334;Laozi_TaoTeChing:0.333;Sunzi_ArtOfWar:0.332
bargaining about maybe, maybe not.	jówaś붪 hóhyć꺜 fo긚wó fo긚wó jy죴lął. Between order and chaos, the path mirrors back from chaos to order. ⟦ctx: lemma=jówaś붪; pos≈verb; anchors=Aristotle_Organon|Homer_Iliad|Shakespeare_Sonnets⟧	Aristotle_Organon:0.338;Homer_Iliad:0.332;Shakespeare_Sonnets:0.331
The parents agreed within the hour.	뵶śaly 쌏no뿰 my뇕ㅇ앿 wół죝쁓 뵶śaly gęh잍fef. A honorable believe arise itself. ⟦ctx: lemma=뵶śaly; pos≈verb; anchors=Descartes_Meditations|Milton_ParadiseLost|Laozi_TaoTeChing⟧	Descartes_Meditations:0.335;Milton_ParadiseLost:0.334;Laozi_TaoTeChing:0.330
They were keen on Sultan Khan, his	줍틸ㅆma jijiłś죘 łó댔łję lóźigęś 쎡펐뵊 ńep쏲ㅇsę ćuźąś톯. order begets chaos, and chaos reframes order. ⟦ctx: lemma=줍틸ㅆma; pos≈noun; anchors=Descartes_Meditations|Aristotle_Organon|Dante_DivineComedy⟧	Descartes_Meditations:0.334;Aristotle_Organon:0.333;Dante_DivineComedy:0.333
money and his position.	veż끮śi fó훐겾 ćuźąś톯 롦냚햓. spirit begets flesh, and flesh reframes spirit. ⟦ctx: lemma=veż끮śi; pos≈verb; anchors=Virgil_Aeneid|Milton_ParadiseLost|Goethe_Faust⟧	Virgil_Aeneid:0.334;Milton_ParadiseLost:0.333;Goethe_Faust:0.333
Sonya sat in the attic and waited.	뎢đal쩺 vóżbąnno 뼛ky쭞 뵶śaly wo쳛ćy fó훐겾 읿뗐뀡. Seek mind by matter; keep matter by mind. ⟦ctx: lemma=뎢đal쩺; pos≈verb; anchors=Dante_DivineComedy|Homer_Odyssey|Aristotle_Organon⟧	Dante_DivineComedy:0.334;Homer_Odyssey:0.333;Aristotle_Organon:0.333
When the	wyć섄jy 뵶śaly. To order through chaos; to chaos through order. ⟦ctx: lemma=wyć섄jy; pos≈verb; anchors=Descartes_Meditations|Dante_DivineComedy|Milton_ParadiseLost⟧	Descartes_Meditations:0.338;Dante_DivineComedy:0.332;Milton_ParadiseLost:0.330
mystery surrounding the suitor had been solved and the parents had decided	bęđcił얠 ty좗śsy 뵶śaly 갰잵ł량 ziwkyk뾗 밽닯ㅆnę 돫퐓ㅇźu fó훐겾 뵶śaly 쌏no뿰 ziwkyk뾗 슆곒ㅇ과. A public part complying itself. ⟦ctx: lemma=bęđcił얠; pos≈verb; anchors=Laozi_TaoTeChing|Dante_DivineComedy|Descartes_Meditations⟧	Laozi_TaoTeChing:0.335;Dante_DivineComedy:0.333;Descartes_Meditations:0.332
to accept, her father’s brother came up to the attic.	찰ręś뜁 re꺹łćok zođńuś픝 씋guc곷 mą뜌tok 쟽알ㅆtal 결sozㅇ퐨 tóz햑ś끚 찰ręś뜁 뵶śaly wo쳛ćy. spirit begets flesh, and flesh reframes spirit. ⟦ctx: lemma=찰ręś뜁; pos≈verb; anchors=Homer_Odyssey|Homer_Iliad|Melville_MobyDick⟧	Homer_Odyssey:0.338;Homer_Iliad:0.331;Melville_MobyDick:0.331
‘Uncle Sultan is your	śaći쐪 쎡펐뵊 kucmótł랺 ces뒏śnuć. time begets eternity, and eternity reframes time. ⟦ctx: lemma=śaći쐪; pos≈verb; anchors=Sunzi_ArtOfWar|Aristotle_Organon|Tolstoy_WarPeace⟧	Sunzi_ArtOfWar:0.334;Aristotle_Organon:0.334;Tolstoy_WarPeace:0.332
wooer,’ he said.	lu뗚ㅆłid mędćođzu 곭fagy. A applicable thee provided itself. ⟦ctx: lemma=lu뗚ㅆłid; pos≈noun; anchors=Virgil_Aeneid|Milton_ParadiseLost|Aristotle_Organon⟧	Virgil_Aeneid:0.334;Milton_ParadiseLost:0.334;Aristotle_Organon:0.332
‘Do you consent?’	쩏węw탾 뷅뉁긩 daśoc쥀. To order through chaos; to chaos through order. ⟦ctx: lemma=쩏węw탾; pos≈verb; anchors=Tolstoy_WarPeace|Milton_ParadiseLost|Descartes_Meditations⟧	Tolstoy_WarPeace:0.335;Milton_ParadiseLost:0.333;Descartes_Meditations:0.332
Not a sound escaped Sonya’s lips.	jy죴lął póbęjiń 폼no턋 śahdaźó 뎢đal쩺 mą뜌tok śą뀿ㅇ얆. time begets eternity, and eternity reframes time. ⟦ctx: lemma=jy죴l; pos≈verb; anchors=Dante_DivineComedy|Homer_Odyssey|Homer_Iliad⟧	Dante_DivineComedy:0.335;Homer_Odyssey:0.334;Homer_Iliad:0.331
With tearful eyes and bowed head, she	츺łędśse syńorł꺶 핍łęfro fó훐겾 끭칥왛 dęć즉ćeć cilfycóp. A motionless who laughed itself. ⟦ctx: lemma=츺łędśse; pos≈verb; anchors=Virgil_Aeneid|Descartes_Meditations|Dante_DivineComedy⟧	Virgil_Aeneid:0.334;Descartes_Meditations:0.333;Dante_DivineComedy:0.333
hid behind her long shawl.	ri녍뫼 źómfah웒 zođńuś픝 kyrpoł멃 펡깎웢. A receive that copying itself. ⟦ctx: lemma=ri녍뫼; pos≈verb; anchors=Dante_DivineComedy|Aristotle_Organon|Plato_Republic⟧	Dante_DivineComedy:0.335;Aristotle_Organon:0.333;Plato_Republic:0.331
‘Your parents have accepted the suitor,’ her uncle said.	ces뒏śnuć 쌏no뿰 쓓hog뀢 깷듗택 뵶śaly 갰잵ł량 zođńuś픝 śaći쐪 곭fagy. Between order and chaos, the path mirrors back from chaos to order. ⟦ctx: lemma=ces뒏śnuć; pos≈verb; anchors=Spinoza_Ethics|Homer_Iliad|Virgil_Aeneid⟧	Spinoza_Ethics:0.334;Homer_Iliad:0.334;Virgil_Aeneid:0.332
‘Now is your only	fa엨ś떭 kucmótł랺 ces뒏śnuć rużącil. Seek order by chaos; keep chaos by order. ⟦ctx: lemma=fa엨ś떭; pos≈verb; anchors=Bacon_NovumOrganum|Descartes_Meditations|Laozi_TaoTeChing⟧	Bacon_NovumOrganum:0.338;Descartes_Meditations:0.333;Laozi_TaoTeChing:0.329
chance to express an opinion.’	뢭na싴 찰ręś뜁 썣렊tą 튼볛팞 diłeđ뱂. To order through chaos; to chaos through order. ⟦ctx: lemma=뢭na싴; pos≈verb; anchors=Milton_ParadiseLost|Austen_PridePrejudice|Virgil_Aeneid⟧	Milton_ParadiseLost:0.334;Austen_PridePrejudice:0.333;Virgil_Aeneid:0.332
She was petrified, paralysed by fear.	cilfycóp łu묨댸 댪멵뎀 죱ńąn춌 럀퐯kąj nip깰퀇. To light through dark; to dark through light. ⟦ctx: lemma=cilfycóp; pos≈verb; anchors=Homer_Odyssey|Descartes_Meditations|Aristotle_Organon⟧	Homer_Odyssey:0.335;Descartes_Meditations:0.333;Aristotle_Organon:0.333
She did not want the man but she	cilfycóp 놃짊ㅇpyś jy죴lął siwyke 뵶śaly cą쉷쎤 됓캼풊 cilfycóp. To one through all; to all through one. ⟦ctx: lemma=cilfycóp; pos≈verb; anchors=Tolstoy_WarPeace|Descartes_Meditations|Homer_Odyssey⟧	Tolstoy_WarPeace:0.335;Descartes_Meditations:0.333;Homer_Odyssey:0.332
knew she had to obey her parents.	칅saㅆfyf cilfycóp ziwkyk뾗 찰ręś뜁 폤젺뛭 zođńuś픝 쌏no뿰. To spirit through flesh; to flesh through spirit. ⟦ctx: lemma=칅saㅆfyf; pos≈noun; anchors=Sunzi_ArtOfWar|Aristotle_Organon|Shakespeare_Sonnets⟧	Sunzi_ArtOfWar:0.334;Aristotle_Organon:0.334;Shakespeare_Sonnets:0.332
As Sultan’s wife her standing in Afghan	ry꾥ńy 쎡펐뵊 mą뜌tok 댛꽴źu zođńuś픝 noh뺏뉿 뼛ky쭞 zyć왡we. A audacious heart make itself. ⟦ctx: lemma=ry꾥ńy; pos≈verb; anchors=Milton_ParadiseLost|Dante_DivineComedy|Homer_Iliad⟧	Milton_ParadiseLost:0.334;Dante_DivineComedy:0.333;Homer_Iliad:0.332
society would go up considerably.	żąć긱죚 괂룲뎹 lębzę귚 tóz햑ś끚 즔챘ㅇ좒. A religious and running itself. ⟦ctx: lemma=żąć긱죚; pos≈verb; anchors=Homer_Odyssey|Melville_MobyDick|Shakespeare_Sonnets⟧	Homer_Odyssey:0.336;Melville_MobyDick:0.333;Shakespeare_Sonnets:0.331
The bride money would solve many of	뵶śaly 넷슩di veż끮śi 괂룲뎹 đąłąk탃 kyfsak씪 졒맖łkeń. To spirit through flesh; to flesh through spirit. ⟦ctx: lemma=뵶śaly; pos≈verb; anchors=Aristotle_Organon|Descartes_Meditations|Melville_MobyDick⟧	Aristotle_Organon:0.336;Descartes_Meditations:0.334;Melville_MobyDick:0.330
her family’s problems.	zođńuś픝 쬥썶쑳 mą뜌tok nó턄곝. Seek time by eternity; keep eternity by time. ⟦ctx: lemma=zođńuś픝; pos≈verb; anchors=Bacon_NovumOrganum|Plato_Republic|Dostoevsky_BrothersKaramazov⟧	Bacon_NovumOrganum:0.335;Plato_Republic:0.334;Dostoevsky_BrothersKaramazov:0.331
The money would help her parents buy good wives	뵶śaly veż끮śi 괂룲뎹 pur뵶żik zođńuś픝 쌏no뿰 visńo괅 weg댆wu cy덝ㅆ럙. mind begets matter, and matter reframes mind. ⟦ctx: lemma=뵶śaly; pos≈verb; anchors=Tolstoy_WarPeace|Descartes_Meditations|Aristotle_Organon⟧	Tolstoy_WarPeace:0.335;Descartes_Meditations:0.334;Aristotle_Organon:0.331
for their sons.	혆폡ł슳 śądąㅇ툻 햷챈낂. order begets chaos, and chaos reframes order. ⟦ctx: lemma=혆폡ł슳; pos≈verb; anchors=Dostoevsky_BrothersKaramazov|Homer_Iliad|Milton_ParadiseLost⟧	Dostoevsky_BrothersKaramazov:0.336;Homer_Iliad:0.335;Milton_ParadiseLost:0.329
Sonya held her tongue, and with that her fate was sealed.	뎢đal쩺 jehty둉 zođńuś픝 탇łaś뽉 fó훐겾 츺łędśse vęlhyw뻊 zođńuś픝 ćą뒗łveś łu묨댸 폮cęsś옺. Between order and chaos, the path mirrors back from chaos to order. ⟦ctx: lemma=뎢đal쩺; pos≈verb; anchors=Sunzi_ArtOfWar|Aristotle_Organon|Melville_MobyDick⟧	Sunzi_ArtOfWar:0.336;Aristotle_Organon:0.333;Melville_MobyDick:0.331
To say nothing	찰ręś뜁 놇퐈껞 lę귬ㅆ쌷. A blue dynamo changing itself. ⟦ctx: lemma=찰ręś뜁; pos≈verb; anchors=Aristotle_Organon|Virgil_Aeneid|Homer_Odyssey⟧	Aristotle_Organon:0.338;Virgil_Aeneid:0.332;Homer_Odyssey:0.330
means to give one’s consent.	nó뵁śrąp 찰ręś뜁 jo꿓śre 딇desㅆłe mą뜌tok daśoc쥀. light begets dark, and dark reframes light. ⟦ctx: lemma=nó뵁śrąp; pos≈verb; anchors=Dante_DivineComedy|Descartes_Meditations|Laozi_TaoTeChing⟧	Dante_DivineComedy:0.334;Descartes_Meditations:0.333;Laozi_TaoTeChing:0.333
The agreement was drawn up, the date fixed.	뵶śaly 볺쀌ś룹 łu묨댸 mą왱kóś tóz햑ś끚 뵶śaly 뇛dów쯵 횾굅ł뤿. order begets chaos, and chaos reframes order. ⟦ctx: lemma=뵶śaly; pos≈verb; anchors=Homer_Iliad|Homer_Odyssey|Aristotle_Organon⟧	Homer_Iliad:0.334;Homer_Odyssey:0.334;Aristotle_Organon:0.333
Sultan went home to inform his family of the news.	쎡펐뵊 ćę앻섶 źó턺śżec 찰ręś뜁 핈쇳bap ćuźąś톯 쬥썶쑳 졒맖łkeń 뵶śaly kąntydą. To order through chaos; to chaos through order. ⟦ctx: lemma=쎡펐뵊; pos≈verb; anchors=Laozi_TaoTeChing|Bacon_NovumOrganum|Plato_Republic⟧	Laozi_TaoTeChing:0.335;Bacon_NovumOrganum:0.334;Plato_Republic:0.331
His wife Sharifa, his	ćuźąś톯 댛꽴źu 껨텚쫔 ćuźąś톯. Between light and dark, the path mirrors back from dark to light. ⟦ctx: lemma=ćuźąś톯; pos≈verb; anchors=Tolstoy_WarPeace|Goethe_Faust|Bacon_NovumOrganum⟧	Tolstoy_WarPeace:0.335;Goethe_Faust:0.333;Bacon_NovumOrganum:0.332
mother and sisters were seated around a dish of rice and spinach.	굇꿖hi fó훐겾 뱛wąwąh jijiłś죘 łatą퇳 lęńał뱐 póbęjiń 쨯퀎풽 졒맖łkeń ba픥섉 fó훐겾 mę톞잼. A old and suffered itself. ⟦ctx: lemma=굇꿖hi; pos≈verb; anchors=Aristotle_Organon|Laozi_TaoTeChing|Plato_Republic⟧	Aristotle_Organon:0.335;Laozi_TaoTeChing:0.333;Plato_Republic:0.332
Sharifa	껨텚쫔. To spirit through flesh; to flesh through spirit. ⟦ctx: lemma=껨텚쫔; pos≈verb; anchors=Milton_ParadiseLost|Descartes_Meditations|Tolstoy_WarPeace⟧	Milton_ParadiseLost:0.335;Descartes_Meditations:0.334;Tolstoy_WarPeace:0.332
thought he was joking and laughed and cracked some jokes in return.	쏏쫬ły mędćođzu łu묨댸 ćipę톼 fó훐겾 쉓cizan fó훐겾 bąs끉ㅇćer 쒮탥ㅆ츟 댓딂꽰 뼛ky쭞 wahęv뤯. time begets eternity, and eternity reframes time. ⟦ctx: lemma=쏏쫬ły; pos≈verb; anchors=Laozi_TaoTeChing|Milton_ParadiseLost|Sunzi_ArtOfWar⟧	Laozi_TaoTeChing:0.334;Milton_ParadiseLost:0.333;Sunzi_ArtOfWar:0.333
His	ćuźąś톯. mind begets matter, and matter reframes mind. ⟦ctx: lemma=ćuźąś톯; pos≈verb; anchors=Milton_ParadiseLost|Dante_DivineComedy|Homer_Odyssey⟧	Milton_ParadiseLost:0.337;Dante_DivineComedy:0.333;Homer_Odyssey:0.330
mother too laughed at Sultan’s joke.	굇꿖hi bą벬wuh 쉓cizan 샺wenł륏 쎡펐뵊 mą뜌tok tu팧łjuf. Seek spirit by flesh; keep flesh by spirit. ⟦ctx: lemma=굇꿖hi; pos≈verb; anchors=Spinoza_Ethics|Aristotle_Organon|Homer_Iliad⟧	Spinoza_Ethics:0.335;Aristotle_Organon:0.333;Homer_Iliad:0.332
She could not believe that he had	cilfycóp 풤뗋ke jy죴lął gąpvą켅 vęlhyw뻊 mędćođzu ziwkyk뾗. To light through dark; to dark through light. ⟦ctx: lemma=cilfycóp; pos≈verb; anchors=Dante_DivineComedy|Milton_ParadiseLost|Plato_Republic⟧	Dante_DivineComedy:0.336;Milton_ParadiseLost:0.333;Plato_Republic:0.332
entered into a proposal of marriage without her blessing.	łóćoㅇkag żóđ햐zuđ póbęjiń 빉괦ㅇđóf 졒맖łkeń śązmóćąb pą탗뎩 zođńuś픝 쯓ca땐. light begets dark, and dark reframes light. ⟦ctx: lemma=łóćoㅇkag; pos≈noun; anchors=Descartes_Meditations|Tolstoy_WarPeace|Aristotle_Organon⟧	Descartes_Meditations:0.335;Tolstoy_WarPeace:0.333;Aristotle_Organon:0.332
The sisters were	뵶śaly 뱛wąwąh jijiłś죘. Between time and eternity, the path mirrors back from eternity to time. ⟦ctx: lemma=뵶śaly; pos≈verb; anchors=Bacon_NovumOrganum|Aristotle_Organon|Shakespeare_Sonnets⟧	Bacon_NovumOrganum:0.336;Aristotle_Organon:0.335;Shakespeare_Sonnets:0.329
dumbfounded.	썹źa뗄. Seek light by dark; keep dark by light. ⟦ctx: lemma=썹źa뗄; pos≈verb; anchors=Aristotle_Organon|Sunzi_ArtOfWar|Homer_Odyssey⟧	Aristotle_Organon:0.335;Sunzi_ArtOfWar:0.333;Homer_Odyssey:0.332
